"platform","genre","total_games","avg_price","median_price","avg_rating","median_rating","total_sales_m","high_rated_pct","genre_sales_rank_in_platform"
Mobile,Simulation,1011,39.46,39.68,7.01,7.00,807.77,26.71,1
Mobile,Shooter,977,40.26,40.78,7.02,7.10,794.58,27.12,2
Mobile,Strategy,938,41.12,41.15,6.94,6.90,786.03,23.88,3
Mobile,Sports,970,40.24,40.31,7.04,7.10,780.56,25.77,4
Mobile,Racing,976,38.70,39.00,6.95,7.00,769.09,23.77,5
Mobile,RPG,976,38.98,39.32,6.98,7.00,769.02,26.02,6
Mobile,Adventure,922,39.50,39.22,6.98,7.00,746.61,25.49,7
Mobile,Puzzle,924,39.73,40.14,6.98,7.00,712.70,24.46,8
Mobile,MOBA,963,39.89,39.89,6.96,7.05,712.50,24.82,9
Mobile,Action,952,40.92,40.37,7.05,7.10,702.86,26.37,10
Mobile,Unknown,191,40.53,40.13,6.89,7.10,151.81,21.99,11
PC,Racing,1003,40.24,39.83,6.92,7.00,789.80,25.82,1
PC,Adventure,998,38.83,38.77,6.91,6.90,784.99,24.45,2
PC,Puzzle,973,38.76,38.46,6.91,6.90,781.26,24.97,3
PC,Action,987,39.79,39.75,6.94,7.00,780.32,25.03,4
PC,MOBA,995,40.53,40.65,6.98,7.00,774.89,25.63,5
PC,Strategy,934,40.61,41.02,6.90,6.90,754.15,25.91,6
PC,Simulation,956,40.98,40.81,6.96,7.00,729.03,25.00,7
PC,RPG,988,40.09,39.23,6.99,7.00,728.54,24.80,8
PC,Shooter,936,40.07,39.60,6.90,7.00,721.17,24.25,9
PC,Sports,959,40.54,40.46,6.92,7.00,706.81,25.86,10
PC,Unknown,187,36.24,35.44,7.02,7.15,152.32,28.34,11
PlayStation,Action,1025,40.65,40.50,7.07,7.10,818.29,27.51,1
PlayStation,Simulation,913,38.56,38.10,6.94,6.90,787.85,25.30,2
PlayStation,Adventure,994,39.37,38.92,7.11,7.10,786.00,28.07,3
PlayStation,RPG,988,39.49,38.49,6.96,7.00,782.20,24.90,4
PlayStation,MOBA,1007,40.12,40.21,6.95,7.00,779.94,25.62,5
PlayStation,Racing,980,39.74,39.51,6.97,6.90,764.27,24.49,6
PlayStation,Puzzle,935,40.84,41.15,6.94,7.00,756.67,23.42,7
PlayStation,Strategy,949,39.22,39.84,6.96,7.00,745.92,24.13,8
PlayStation,Shooter,973,41.34,41.06,7.00,7.00,738.03,25.18,9
PlayStation,Sports,903,41.34,41.78,6.93,7.00,680.14,24.47,10
PlayStation,Unknown,195,41.21,39.70,6.91,7.00,137.54,24.10,11
Switch,Shooter,1004,40.58,40.91,7.00,7.00,797.70,24.70,1
Switch,RPG,964,40.04,40.97,6.98,7.00,793.86,26.35,2
Switch,Strategy,1012,39.84,39.55,6.95,7.00,793.71,24.90,3
Switch,Sports,946,40.07,40.18,6.90,7.00,789.01,23.57,4
Switch,Puzzle,986,39.97,40.04,6.91,7.00,761.26,25.56,5
Switch,Simulation,965,41.61,43.32,6.97,7.00,754.59,24.25,6
Switch,MOBA,960,39.72,40.18,6.93,7.00,744.96,24.69,7
Switch,Adventure,916,39.89,40.12,6.98,7.00,728.97,25.00,8
Switch,Action,929,40.43,40.36,6.91,7.00,718.85,23.47,9
Switch,Racing,935,40.83,41.10,6.92,7.00,718.36,24.60,10
Switch,Unknown,193,41.31,46.69,6.96,6.90,131.64,24.35,11
Unknown,Action,77,41.11,41.55,6.74,6.60,65.78,24.68,1
Unknown,Adventure,72,38.62,37.80,7.03,7.05,64.29,23.61,2
Unknown,Strategy,74,38.93,39.27,7.02,6.85,59.91,31.08,3
Unknown,Sports,66,40.80,39.50,7.04,7.00,57.05,30.30,4
Unknown,Shooter,68,43.58,44.27,7.04,7.10,56.49,27.94,5
Unknown,Puzzle,71,37.01,35.11,6.79,6.60,55.13,19.72,6
Unknown,Racing,78,39.76,38.70,7.35,7.30,53.74,33.33,7
Unknown,Simulation,86,40.73,41.65,7.15,7.20,51.44,23.26,8
Unknown,RPG,75,42.35,41.57,7.33,7.35,49.87,29.33,9
Unknown,MOBA,66,39.18,39.93,7.01,7.10,45.90,25.76,10
Unknown,Unknown,17,38.29,38.78,6.96,7.10,15.28,23.53,11
Xbox,Adventure,979,38.53,38.62,7.00,7.00,824.16,26.46,1
Xbox,RPG,966,39.51,39.96,7.03,7.00,789.41,27.33,2
Xbox,Sports,1000,40.54,39.89,7.00,7.00,782.79,25.50,3
Xbox,Shooter,987,40.24,40.35,6.92,7.00,768.48,24.82,4
Xbox,Puzzle,968,39.57,39.79,6.95,6.90,763.93,26.55,5
Xbox,Strategy,950,39.27,39.60,6.90,6.90,761.69,22.74,6
Xbox,MOBA,983,39.37,39.13,6.96,7.00,752.57,24.72,7
Xbox,Action,982,40.02,40.18,6.97,7.00,746.24,25.05,8
Xbox,Simulation,936,39.14,38.80,6.88,6.90,737.11,22.54,9
Xbox,Racing,894,39.71,40.02,6.93,6.90,693.99,24.16,10
Xbox,Unknown,217,38.87,39.02,7.01,7.10,176.26,23.50,11
