"work_year","job_category","experience_level","employment_type","total_vacancies","total_payroll_usd","avg_salary_usd","median_salary_usd","remote_vacancies_pct","hybrid_vacancies_pct","in_person_vacancies_pct","category_salary_rank_by_exp"
2020,Machine Learning and AI,Entry-level,Full-time,3,433896,144632.00,138000.0,33.33,66.67,0.00,1
2020,Data Engineering,Entry-level,Full-time,3,224742,74914.00,70000.0,66.67,0.00,33.33,2
2020,Data Analysis,Entry-level,Contract,2,144753,72376.50,72376.5,50.00,50.00,0.00,3
2020,Data Analysis,Entry-level,Full-time,4,233708,58427.00,59949.5,75.00,0.00,25.00,4
2020,Data Science and Research,Entry-level,Full-time,6,350231,58371.83,50294.5,16.67,33.33,50.00,5
2020,Data Science and Research,Entry-level,Part-time,1,21669,21669.00,21669.0,0.00,100.00,0.00,6
2020,Machine Learning and AI,Entry-level,Part-time,1,15966,15966.00,15966.0,100.00,0.00,0.00,7
2020,Data Science and Research,Executive,Full-time,2,625000,312500.00,312500.0,100.00,0.00,0.00,1
2020,Data Engineering,Executive,Full-time,1,79833,79833.00,79833.0,0.00,100.00,0.00,2
2020,Data Analysis,Executive,Full-time,1,15000,15000.00,15000.0,0.00,0.00,100.00,3
2020,Data Science and Research,Mid-level,Full-time,12,1375600,114633.33,91416.5,58.33,16.67,25.00,1
2020,Data Engineering,Mid-level,Full-time,8,719244,89905.50,90065.0,62.50,37.50,0.00,2
2020,Data Analysis,Mid-level,Full-time,7,566759,80965.57,87000.0,42.86,14.29,42.86,3
2020,Data Analysis,Mid-level,Contract,1,60000,60000.00,60000.0,0.00,0.00,100.00,4
2020,Machine Learning and AI,Mid-level,Full-time,1,50180,50180.00,50180.0,0.00,0.00,100.00,5
2020,Data Science and Research,Senior,Full-time,8,1384126,173015.75,156130.5,62.50,25.00,12.50,1
2020,Machine Learning and AI,Senior,Full-time,4,572722,143180.50,133552.0,25.00,50.00,25.00,2
2020,Data Engineering,Senior,Full-time,5,583970,116794.00,114047.0,40.00,60.00,0.00,3
2020,Machine Learning and AI,Senior,Freelance,1,60000,60000.00,60000.0,100.00,0.00,0.00,4
2021,Machine Learning and AI,Entry-level,Full-time,10,767667,76766.70,75500.0,60.00,40.00,0.00,1
2021,Data Science and Research,Entry-level,Full-time,13,957518,73655.23,80000.0,30.77,46.15,23.08,2
2021,Data Engineering,Entry-level,Full-time,5,329873,65974.60,66970.0,40.00,60.00,0.00,3
