id,gameNm,platform,genre,release_dt,price,rating,sales_m
11764,,Nintendo Switch,Adventure,10/10/2012,58.35,4.9,0.268
31296,rogue legends ii,Playstation ,Strategy,2021/12/01,33.4,7.8,1.579
30454,rogue chronicles,mobile,MOBA,17.05.2016,22.75,8.7,0.154
21845,Ancient Uprising HD,Pc,Action,03-28-2010,75.74,7.6,0.94
15679,Shadow Requiem,Playstation ,MOBA,2012/11/07,74.27,9.9,1.655
27190,Shadow Legends,mobile,Shooter,05-15-2017,59.29,6.9,0.262
42307,Iron Storm,SWITCH,MOBA,2015-10-03,17.54,7.7,0.13
13733,Crimson Requiem II,Playstation ,Adventure,10-04-2023,26.2,4.0,0.125
5512,Savage Legacy: Reborn,Switch,RPG,13.02.2007,27.66,8.4,0.88
46121,Neon Warfare,SWITCH,Racing,17/09/2015,25.98,6.1,0.344
30260,Mystic Realm Online,XBOX,Strategy,2021/08/10,63.68,7.4,0.293
13500,WILD LEGACY HD,Pc,Strategy,2010/09/04,41.42,5.5,0.167
22315,Broken Uprising: Reborn,Nintendo Switch,MOBA,16.09.2019,20.6,8.4,0.819
10164,Steel Nexus,PlayStation,Racing,01-09-2016,11.54,7.7,0.464
1615,Lost Vortex,PC ,Sports,10/12/2020,45.96,6.5,0.292
19270,Hidden Uprising,Nintendo Switch,Shooter,2024/01/01,29.77,4.3,1.549
32582,golden legacy hd,Mobile ,Adventure,06-07-2012,17.49,6.5,0.199
19697,dark dominion: reborn,Mobile,RPG,2007/06/16,35.88,7.6,0.161
23525,Hidden Chronicles,Xbox ,Adventure,21/11/2016,47.92,7.2,
36608,IRON EMPIRE ONLINE,Switch,Shooter,12-12-2020,38.93,5.5,1.731
29146,Eternal Vortex,Switch,Strategy,24.12.2023,28.59,5.0,0.087
46580,Rogue Storm III,xbox,Adventure,2018/07/21,69.48,9.5,2.44
24861,Wild Legends: Remastered,Pc,MOBA,2008/06/04,34.28,8.3,0.516
28082,Ancient Storm: Reborn,SWITCH,Simulation,25/10/2023,8.81,6.3,1.012
33763,Shadow Rebellion,Playstation ,MOBA,27/05/2024,31.55,5.8,3.126
36212,Shadow Horizon II,switch,Sports,2018/01/26,62.92,8.8,2.23
6271,Dark Storm,Nintendo Switch,Shooter,2013-08-19,14.3,5.7,0.896
41748,Dark Storm II,SWITCH,Adventure,2014/02/02,51.48,8.1,0.156
31140,Dark Saga Online,P.C.,Adventure,08/03/2021,45.71,7.2,0.185
42323,Rising Legends,iOS/Android,Puzzle,03-31-2008,58.84,7.1,1.128
45032,Eternal Nexus,PC ,Sports,27.07.2018,47.84,5.1,0.407
6802,FROZEN REALM,Pc,Shooter,2005/07/26,35.21,5.6,2.43
46734,Rising Saga Online,PC ,Simulation,2015-02-16,52.74,8.0,1.476
31362,Rising Empire II,playstation,Action,2010/02/10,11.92,4.6,0.226
5114,Neon Chronicles Online,Xbox ,RPG,11.01.2013,28.0,8.8,0.866
41536,Silent Legends: Origins,playstation,Puzzle,12-23-2012,8.93,99.0,0.075
32534,Lost Horizon III,mobile,Simulation,12-28-2017,70.95,7.7,1.231
11697,eternal dynasty,P.C.,RPG,2014-08-05,51.32,8.5,1.055
9849,Golden Rebellion,PS,Puzzle,03-26-2023,35.25,8.9,0.82
30603,hidden dynasty iii,PC ,Adventure,07-25-2006,28.55,8.7,0.236
4569,Savage Legends: Reborn,Xbox ,Puzzle,2007-04-29,15.84,6.8,0.084
3896,Rising Requiem,PlayStation,Shooter,12-19-2014,70.87,7.0,1.256
30881,Steel Warfare,iOS/Android,Sports,2020/04/17,59.28,7.3,0.355
49094,Broken Realm II,Pc,Adventure,2018/05/02,,8.4,0.091
39226,Iron Odyssey: Reborn,switch,Shooter,2009/01/14,66.55,4.8,2.506
38868,Dark Uprising Online,XBOX,Shooter,2006-11-23,29.1,7.2,0.292
24128,Mystic Empire: Remastered,SWITCH,Simulation,2020-08-17,54.95,6.2,0.264
6082,ETERNAL ODYSSEY: REBORN,XBOX,Action,31.03.2018,8.04,4.5,0.471
28931,Silent Kingdom HD,PC,Adventure,2024/12/02,22.72,7.4,1.262
9563,Hidden Frontier,pc,Strategy,15/10/2014,46.03,8.4,0.967
31644,Final Warfare II,XBOX,Strategy,09-03-2014,9.41,7.5,1.561
963,Shadow Realm,playstation,MOBA,05/03/2016,11.32,5.3,0.202
28539,Lost Empire II,XBOX,Adventure,02.08.2017,70.57,6.9,1.664
29637,Iron Horizon II,Xbox ,MOBA,,69.54,7.2,0.118
30433,Dark Requiem: Reborn,PlayStation,Simulation,10/11/2015,10.94,6.3,1.05
6500,Iron Empire,Xbox ,Strategy,2015-05-07,50.21,7.6,
7488,Mystic Vortex: Remastered,mobile,Puzzle,2008/07/11,30.98,6.5,0.283
45168,Wild Quest,Mobile ,MOBA,14/05/2008,43.53,6.1,2.342
3900,Dark Saga: Origins,playstation,Racing,2012-03-22,21.23,6.5,0.433
33744,Frozen Frontier: Remastered,PS,Strategy,01/11/2021,24.04,7.8,0.218
13896,Silent Uprising,PC,RPG,08.03.2014,20.27,3.0,1.663
49268,WILD REALM HD,iOS/Android,Racing,25.10.2011,39.16,7.0,0.702
4314,Shadow Legacy: Reborn,mobile,Simulation,03-01-2006,71.78,4.9,1.845
41496,Neon Dominion,Mobile,Puzzle,,21.24,7.1,0.826
49042,Broken Requiem,Switch,Racing,01-30-2023,62.04,7.4,0.488
39643,Steel Warfare,XBOX,Adventure,20/05/2010,49.07,6.4,1.502
28690,Ancient Dynasty Online,Pc,Action,25/10/2018,70.22,5.3,0.08
28002,rising frontier,playstation,MOBA,2009/10/27,32.38,6.6,0.355
47103,Dark Uprising: Remastered,Pc,Shooter,12-20-2017,70.32,4.6,0.26
35304,Eternal Warfare,Playstation ,Puzzle,2009/06/29,52.33,7.4,1.722
19033,Dark Dynasty,PC,Simulation,12-20-2006,39.95,5.0,0.24
14208,Rogue Nexus HD,Pc,Sports,25/12/2020,11.09,8.0,0.147
11889,Crimson Kingdom: Origins,SWITCH,MOBA,06.10.2023,24.64,7.6,0.001
33428,Mystic Empire,mobile,Simulation,07/04/2022,59.72,9.8,2.757
16058,Broken Quest,PlayStation,MOBA,02-22-2011,71.59,6.9,0.418
12763,Golden Storm HD,Switch,RPG,2005/02/12,62.71,3.0,1.098
45301,Rising Vortex Online,Playstation ,Strategy,2022/04/03,31.04,8.3,0.232
6825,Crimson Realm: Origins,playstation,Racing,11-20-2024,30.14,5.6,0.711
12053,hidden kingdom: reborn,Nintendo Switch,Sports,08-28-2005,21.18,4.3,0.785
12209,Silent Requiem,xbox,Strategy,05-09-2015,34.73,8.1,1.477
16616,Silent Saga: Origins,,Action,2015-08-26,51.58,4.9,1.604
29824,Shadow Horizon II,PlayStation,Shooter,2017/11/15,12.11,7.4,0.315
15419,ROGUE DYNASTY HD,Nintendo Switch,Puzzle,26/07/2011,9.23,9.1,2.253
7681,iron nexus,playstation,Adventure,17.01.2005,40.8,5.9,0.39
10013,ancient saga: remastered,Mobile,Racing,01/04/2005,27.65,6.2,0.573
21280,Savage Legacy: Reborn,PlayStation,MOBA,11/08/2013,25.91,6.1,0.068
38952,Rogue Quest: Remastered,PC ,Shooter,24/12/2012,6.69,6.2,0.347
17734,Hidden Dynasty III,P.C.,RPG,02.09.2011,11.03,5.9,0.214
34265,silent chronicles,SWITCH,Racing,19.08.2019,17.02,0.0,1.627
29126,Silent Odyssey,Playstation ,Shooter,30.01.2022,17.03,6.7,0.09
14546,Rogue Realm,PS,Puzzle,30/05/2016,1500.0,6.6,0.42
48010,Lost Dynasty,P.C.,Simulation,2018-03-08,12.72,6.8,1.069
45468,Hidden Uprising HD,Playstation ,Shooter,08/06/2014,64.4,6.5,0.028
38189,Mystic Saga: Remastered,Pc,RPG,13/09/2006,13.04,6.2,0.112
7498,wild uprising: remastered,PS,RPG,17/02/2014,66.7,8.6,4.31
39621,Iron Horizon II,XBOX,Adventure,02/04/2011,18.9,6.8,0.015
44750,Mystic Vortex: Remastered,xbox,MOBA,06/07/2023,41.55,8.2,0.176
16710,Steel Legends,Xbox,Puzzle,09.02.2012,61.1,9.5,0.354
17987,Shadow Legacy,XBOX,Strategy,03-09-2019,6.78,7.6,0.105
42253,Lost Odyssey HD,SWITCH,MOBA,22.03.2010,,8.6,0.008
48385,Silent Legends: Origins,switch,Puzzle,17.02.2022,66.21,7.7,0.202
35126,Crimson Uprising: Origins,Xbox ,Action,05-09-2015,30.87,6.7,0.026
27921,Dark Odyssey HD,Pc,Strategy,11-28-2020,29.1,4.9,2.801
13522,Iron Dynasty,Nintendo Switch,Shooter,05-08-2023,24.19,8.8,1.759
22354,Silent Frontier HD,PlayStation,RPG,2018-10-16,44.22,7.2,0.025
19008,Steel Warfare,XBOX,Simulation,23.12.2012,17.5,5.8,0.304
13821,Golden Legacy Online,pc,RPG,2014/01/13,37.97,5.4,0.073
46757,Iron Odyssey,Switch,Shooter,04-21-2011,54.64,4.7,1.983
45818,rogue frontier: origins,PS,Action,17/09/2013,40.28,9.2,0.197
27866,Savage Kingdom HD,Xbox,Simulation,2020/03/01,17.95,7.6,0.36
13864,Neon Kingdom,switch,Sports,2024/07/17,20.3,10.0,1.394
48685,hidden warfare iii,pc,RPG,10-20-2023,11.45,6.0,0.298
1862,Lost Kingdom,PC,MOBA,04/11/2024,47.88,,0.244
39419,Rising Chronicles II,,Adventure,2023-10-09,43.75,6.2,1.647
12350,Crimson Empire Online,P.C.,Sports,16/08/2007,57.0,6.3,0.439
35292,crimson legacy online,pc,,2005-09-27,20.82,8.5,0.563
9456,Shadow Storm,Mobile ,RPG,2007-03-17,69.03,3.9,0.777
14249,Steel Frontier,Xbox,Racing,13/11/2007,13.69,5.8,0.433
44703,Iron Warfare: Reborn,Mobile,RPG,2014-12-03,16.91,3.5,0.31
957,Rogue Legends,Xbox,RPG,2018-10-08,12.01,4.4,0.315
37528,Broken Dynasty: Origins,PS,RPG,2019/12/16,57.13,3.6,0.066
46867,Mystic Rebellion,PC,Racing,2024/01/06,46.53,7.1,1.119
29377,Rogue Legends HD,mobile,Action,12-20-2009,26.11,5.8,2.005
15514,Savage Quest,PC,Adventure,14.05.2013,18.93,8.9,0.377
6314,Rogue Kingdom III,iOS/Android,Racing,2008/10/20,64.6,5.5,0.047
39933,Broken Storm,Mobile,RPG,2016/05/19,31.81,4.0,1.054
41747,Rising Dynasty,PS,Shooter,2007-01-20,69.7,5.2,0.59
797,Lost Warfare III,P.C.,MOBA,08.03.2019,51.05,6.9,0.574
19437,Ancient Nexus HD,PC ,Action,28.11.2018,55.8,7.7,0.09
4119,Shadow Legacy: Reborn,Nintendo Switch,Puzzle,2015/02/23,63.14,,0.067
15948,Rogue Vortex: Origins,PC ,Adventure,25.12.2007,41.63,5.4,0.243
29670,Crimson Chronicles,Mobile,Simulation,2024/12/13,67.83,10.0,0.855
13673,Wild Uprising,Mobile,Sports,09/10/2013,69.3,7.6,3.504
30415,Rogue Warfare Online,Pc,Racing,2017-07-06,46.86,5.3,1.324
15605,iron dominion,PS,Sports,30/03/2006,46.54,6.3,0.206
32730,Dark Frontier II,Xbox ,Puzzle,24/08/2021,28.69,6.8,0.081
31167,Steel Kingdom HD,iOS/Android,Sports,21.01.2023,42.48,9.3,0.173
32648,Wild Vortex: Reborn,Playstation ,Simulation,2018/07/12,44.32,10.0,0.396
25684,Neon Horizon: Remastered,PC ,Action,25.04.2015,45.85,6.6,0.063
42621,Golden Nexus II,iOS/Android,Shooter,05-31-2020,15.49,8.9,0.76
35938,Iron Dynasty,Switch,Adventure,11-29-2006,68.34,5.7,0.345
39909,Crimson Quest: Reborn,Mobile ,Action,10.08.2013,-9.99,5.6,106.0
41461,Rising Saga III,PC ,Sports,03.07.2024,31.66,5.4,0.197
25719,Ancient Storm: Reborn,playstation,Racing,02-07-2008,59.41,4.5,1.003
47728,Steel Frontier: Reborn,PS,Puzzle,06-04-2013,63.53,5.4,1.135
29985,frozen storm,pc,,2024/11/20,47.53,10.0,0.338
4462,Lost Vortex,playstation,Strategy,05/03/2009,62.87,6.0,0.894
4219,Final Saga: Remastered,XBOX,Adventure,10.02.2016,6.69,7.4,0.959
4279,Golden Realm II,Xbox,Action,2011-05-23,30.52,7.3,1.056
14074,Frozen Requiem Online,PC ,RPG,03-15-2014,19.32,4.3,0.261
19265,Silent Empire III,SWITCH,MOBA,04.10.2008,43.68,7.3,0.538
